average value,vertical variance,horizonal variance,ratio as 2,target
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
340.56,641638.3636,748604.11,0.8,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
332.7692308,654918.0661,759081.04,0.808,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
338.36,636522,740107.1475,0.8,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
336.52,636283.0579,739294.3275,0.76,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
346.125,649395.4215,734213.1275,0.833,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
338.16,632598.7934,743259.51,0.8,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
348.9583333,649880.2314,756532.3875,0.833,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
344.12,645289.719,769199.6275,0.8,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
332.7692308,658165.157,758559.14,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
336.2692308,656026.5124,770357.3275,0.808,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
346.4,656424.9256,769534.1,0.8,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
337.0384615,644189.8678,757833.2275,0.769,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
345.96,652334.7438,772557.4475,0.8,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.0833333,670834.3306,759321.95,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
352.9166667,673804.3636,757538.35,0.833,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
338.1923077,656682.9587,772147.1275,0.769,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
351.64,672129.7851,779466.9475,0.76,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
342,660783.5041,787242.64,0.769,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
350.56,669093.4711,784047.16,0.76,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
343.0769231,665134.9917,780594.3,0.769,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
327.1071429,671013.5041,790644.3475,0.714,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
320.9655172,680869.0579,799476.54,0.724,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
345.5769231,665593.0579,786586.9875,0.769,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
328.1071429,691947.2397,789634.9275,0.75,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
334.5925926,665189.6529,782758.51,0.778,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
335.037037,680746.595,781982.11,0.741,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
319.1724138,681637.3388,795777.76,0.724,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
336.962963,683833.3554,787867.79,0.741,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
328.1428571,659016.7438,798423.24,0.75,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
335.1111111,673707.7025,780052.04,0.741,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
327.6785714,670919.3554,794542.4875,0.714,0
